TIME: 0.000573, ROLL: 0.000000, PITCH: 0.000000, YAW: 0.000000, X: 0.000000, Y: 0.000000, ALTITUDE: 0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.054643, ROLL: 0.013947, PITCH: 0.022963, YAW: -0.000530, X: 0.000000, Y: 0.000000, ALTITUDE: 0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.107482, ROLL: 0.013947, PITCH: 0.022963, YAW: -0.000530, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.160328, ROLL: 0.013947, PITCH: 0.022963, YAW: -0.000530, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.213257, ROLL: 0.013878, PITCH: 0.023110, YAW: -0.000561, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.266147, ROLL: 0.013878, PITCH: 0.023110, YAW: -0.000561, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.320319, ROLL: 0.013878, PITCH: 0.023110, YAW: -0.000561, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.373930, ROLL: 0.013878, PITCH: 0.023110, YAW: -0.000561, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.427161, ROLL: 0.013930, PITCH: 0.023241, YAW: -0.000579, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.480678, ROLL: 0.013930, PITCH: 0.023241, YAW: -0.000579, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.533808, ROLL: 0.013930, PITCH: 0.023241, YAW: -0.000579, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.587525, ROLL: 0.013930, PITCH: 0.023241, YAW: -0.000579, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.640950, ROLL: 0.013966, PITCH: 0.023068, YAW: -0.000586, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.694591, ROLL: 0.013966, PITCH: 0.023068, YAW: -0.000586, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.747896, ROLL: 0.013966, PITCH: 0.023068, YAW: -0.000586, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.801300, ROLL: 0.013966, PITCH: 0.023068, YAW: -0.000586, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.854415, ROLL: 0.014148, PITCH: 0.023114, YAW: -0.000634, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.907402, ROLL: 0.014148, PITCH: 0.023114, YAW: -0.000634, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
