TIME: 0.000038, ROLL: 0.000000, PITCH: 0.000000, YAW: 0.000000, X: 0.000000, Y: 0.000000, ALTITUDE: 0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.005551, ROLL: 0.000000, PITCH: 0.000000, YAW: 0.000000, X: 0.000000, Y: 0.000000, ALTITUDE: 0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.010712, ROLL: 0.000000, PITCH: 0.000000, YAW: 0.000000, X: 0.000000, Y: 0.000000, ALTITUDE: 0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.015880, ROLL: 0.000000, PITCH: 0.000000, YAW: 0.000000, X: 0.000000, Y: 0.000000, ALTITUDE: 0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.021104, ROLL: 0.000000, PITCH: 0.000000, YAW: 0.000000, X: 0.000000, Y: 0.000000, ALTITUDE: 0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.026329, ROLL: 0.000000, PITCH: 0.000000, YAW: 0.000000, X: 0.000000, Y: 0.000000, ALTITUDE: 0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.031487, ROLL: 0.000000, PITCH: 0.000000, YAW: 0.000000, X: 0.000000, Y: 0.000000, ALTITUDE: 0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.036636, ROLL: 0.000000, PITCH: 0.000000, YAW: 0.000000, X: 0.000000, Y: 0.000000, ALTITUDE: 0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.041817, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: 0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.046978, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: 0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.052171, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: 0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.057299, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: 0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.062431, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: 0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.067659, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: 0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.072880, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: 0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.078034, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: 0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.083193, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: 0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.088458, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.093636, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.098820, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.104058, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.109296, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.114490, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.119792, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.124976, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.130166, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.135312, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.140589, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.145799, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.151030, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.156206, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 0.161419, ROLL: 0.015515, PITCH: 0.010505, YAW: -0.000274, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
